id,processed_file,embedding_file,dimensionality,created_at
10.1001/jama.1987.03400150125046,10.1001_jama.1987.03400150125046.json,10.1001_jama.1987.03400150125046.json,384,2025-10-05T18:21:12.855986Z
10.1002/9781119697473.ch20,10.1002_9781119697473.ch20.json,10.1002_9781119697473.ch20.json,384,2025-10-05T18:21:12.858001Z
10.1007/978-0-230-35872-0_11,10.1007_978-0-230-35872-0_11.json,10.1007_978-0-230-35872-0_11.json,384,2025-10-05T18:21:12.860002Z
10.1007/978-1-4842-3787-8_6,10.1007_978-1-4842-3787-8_6.json,10.1007_978-1-4842-3787-8_6.json,384,2025-10-05T18:21:12.861997Z
10.1007/978-1-84882-120-0_8,10.1007_978-1-84882-120-0_8.json,10.1007_978-1-84882-120-0_8.json,384,2025-10-05T18:21:12.863015Z
10.1038/scientificamerican0790-62,10.1038_scientificamerican0790-62.json,10.1038_scientificamerican0790-62.json,384,2025-10-05T18:21:12.864780Z
10.1038/scientificamerican1179-62,10.1038_scientificamerican1179-62.json,10.1038_scientificamerican1179-62.json,384,2025-10-05T18:21:12.866301Z
10.1055/a-1229-5048,10.1055_a-1229-5048.json,10.1055_a-1229-5048.json,384,2025-10-05T18:21:12.868318Z
10.1097/00005721-198801000-00013,10.1097_00005721-198801000-00013.json,10.1097_00005721-198801000-00013.json,384,2025-10-05T18:21:12.869310Z
10.1111/j.1600-0447.1987.tb02872.x,10.1111_j.1600-0447.1987.tb02872.x.json,10.1111_j.1600-0447.1987.tb02872.x.json,384,2025-10-05T18:21:12.870310Z
10.1201/9781003279044-9,10.1201_9781003279044-9.json,10.1201_9781003279044-9.json,384,2025-10-05T18:21:12.871312Z
10.1201/9781779640017,10.1201_9781779640017.json,10.1201_9781779640017.json,384,2025-10-05T18:21:12.872325Z
10.15448/1980-3729.2025.1.46895,10.15448_1980-3729.2025.1.46895.json,10.15448_1980-3729.2025.1.46895.json,384,2025-10-05T18:21:12.873309Z
10.17343/sdutfd.905059,10.17343_sdutfd.905059.json,10.17343_sdutfd.905059.json,384,2025-10-05T18:21:12.873309Z
10.20453/ah.v63i2.3846,10.20453_ah.v63i2.3846.json,10.20453_ah.v63i2.3846.json,384,2025-10-05T18:21:12.874310Z
10.20453/ah.v64i1.3911,10.20453_ah.v64i1.3911.json,10.20453_ah.v64i1.3911.json,384,2025-10-05T18:21:12.875310Z
10.2174/9789815305128124010014,10.2174_9789815305128124010014.json,10.2174_9789815305128124010014.json,384,2025-10-05T18:21:13.543651Z
10.2210/rcsb_pdb/gh/dm/about/causes-of-diabetes,10.2210_rcsb_pdb_gh_dm_about_causes-of-diabetes.json,10.2210_rcsb_pdb_gh_dm_about_causes-of-diabetes.json,384,2025-10-05T18:21:13.544799Z
10.35940/ijeat.f1289.0886s219,10.35940_ijeat.f1289.0886s219.json,10.35940_ijeat.f1289.0886s219.json,384,2025-10-05T18:21:13.545883Z
10.4018/978-1-6684-2304-2.ch001,10.4018_978-1-6684-2304-2.ch001.json,10.4018_978-1-6684-2304-2.ch001.json,384,2025-10-05T18:21:13.546413Z
10.4324/9780203415016,10.4324_9780203415016.json,10.4324_9780203415016.json,384,2025-10-05T18:21:13.547482Z
10.5040/9781492595502.part-002,10.5040_9781492595502.part-002.json,10.5040_9781492595502.part-002.json,384,2025-10-05T18:21:13.548078Z
41039128,41039128.json,41039128.json,384,2025-10-05T18:21:13.548624Z
41039344,41039344.json,41039344.json,384,2025-10-05T18:21:13.550182Z
41039394,41039394.json,41039394.json,384,2025-10-05T18:21:13.550182Z
41039462,41039462.json,41039462.json,384,2025-10-05T18:21:13.551182Z
41039528,41039528.json,41039528.json,384,2025-10-05T18:21:13.552593Z
41040518,41040518.json,41040518.json,384,2025-10-05T18:21:13.553177Z
41040633,41040633.json,41040633.json,384,2025-10-05T18:21:13.554193Z
41041383,41041383.json,41041383.json,384,2025-10-05T18:21:13.555190Z
41041802,41041802.json,41041802.json,384,2025-10-05T18:21:13.556191Z
41042239,41042239.json,41042239.json,384,2025-10-05T18:21:13.557190Z
41042286,41042286.json,41042286.json,384,2025-10-05T18:21:14.019572Z
41042382,41042382.json,41042382.json,384,2025-10-05T18:21:14.020199Z
41042439,41042439.json,41042439.json,384,2025-10-05T18:21:14.021714Z
41042440,41042440.json,41042440.json,384,2025-10-05T18:21:14.021714Z
41042450,41042450.json,41042450.json,384,2025-10-05T18:21:14.022723Z
41042487,41042487.json,41042487.json,384,2025-10-05T18:21:14.023725Z
41042534,41042534.json,41042534.json,384,2025-10-05T18:21:14.024721Z
41042557,41042557.json,41042557.json,384,2025-10-05T18:21:14.025723Z
41042596,41042596.json,41042596.json,384,2025-10-05T18:21:14.026719Z
41042601,41042601.json,41042601.json,384,2025-10-05T18:21:14.027722Z
